File: runtime.test
Type: cpu
Time: 2026-09-14 11:40:10 EDT
Duration: 4.41s, Total samples = 2.90s (65.78%)
Showing nodes accounting for 2.72s, 93.79% of 2.90s total
Dropped 83 nodes (cum <= 0.01s)
Showing top 40 nodes out of 182
      flat  flat%   sum%        cum   cum%
     1.42s 48.97% 48.97%      1.42s 48.97%  syscall.rawsyscalln
     0.32s 11.03% 60.00%      0.32s 11.03%  runtime.kevent
     0.21s  7.24% 67.24%      0.21s  7.24%  runtime.madvise
     0.17s  5.86% 73.10%      0.17s  5.86%  runtime.memmove
     0.12s  4.14% 77.24%      0.12s  4.14%  runtime.pthread_kill
     0.09s  3.10% 80.34%      0.09s  3.10%  runtime.pthread_cond_wait
     0.09s  3.10% 83.45%      0.09s  3.10%  runtime.usleep
     0.08s  2.76% 86.21%      0.08s  2.76%  runtime.memclrNoHeapPointers
     0.08s  2.76% 88.97%      0.08s  2.76%  runtime.pthread_cond_signal
     0.03s  1.03% 90.00%      0.03s  1.03%  runtime.(*spanInlineMarkBits).init
     0.02s  0.69% 90.69%      0.03s  1.03%  crypto/internal/fips140/sha256.(*Digest).Write
     0.02s  0.69% 91.38%      0.02s  0.69%  runtime.pthread_cond_timedwait_relative_np
     0.02s  0.69% 92.07%      0.02s  0.69%  runtime.tryDeferToSpanScan
     0.01s  0.34% 92.41%      0.07s  2.41%  encoding/json.Marshal
     0.01s  0.34% 92.76%      0.03s  1.03%  runtime.(*sweepLocked).sweep
     0.01s  0.34% 93.10%      0.03s  1.03%  runtime.mallocgcSmallScanNoHeader
     0.01s  0.34% 93.45%      0.03s  1.03%  runtime.scanObject
     0.01s  0.34% 93.79%      0.02s  0.69%  slices.insertionSortCmpFunc[go.shape.struct { encoding/json.v reflect.Value; encoding/json.ks string }] (inline)
         0     0% 93.79%      0.08s  2.76%  bufio.(*Reader).Peek
         0     0% 93.79%      0.03s  1.03%  bufio.(*Reader).Read
         0     0% 93.79%      0.08s  2.76%  bufio.(*Reader).fill
         0     0% 93.79%      0.06s  2.07%  bufio.(*Writer).Flush
         0     0% 93.79%      0.03s  1.03%  encoding/json.(*decodeState).literalStore
         0     0% 93.79%      0.04s  1.38%  encoding/json.(*decodeState).object
         0     0% 93.79%      0.04s  1.38%  encoding/json.(*decodeState).unmarshal
         0     0% 93.79%      0.04s  1.38%  encoding/json.(*decodeState).value
         0     0% 93.79%      0.06s  2.07%  encoding/json.(*encodeState).marshal
         0     0% 93.79%      0.06s  2.07%  encoding/json.(*encodeState).reflectValue
         0     0% 93.79%      0.06s  2.07%  encoding/json.Unmarshal
         0     0% 93.79%      0.04s  1.38%  encoding/json.mapEncoder.encode
         0     0% 93.79%      0.03s  1.03%  encoding/json.structEncoder.encode
         0     0% 93.79%      1.43s 49.31%  github.com/redis/go-redis/v9.(*Client).Process
         0     0% 93.79%      1.26s 43.45%  github.com/redis/go-redis/v9.(*Script).EvalSha
         0     0% 93.79%      1.26s 43.45%  github.com/redis/go-redis/v9.(*Script).Run
         0     0% 93.79%      0.03s  1.03%  github.com/redis/go-redis/v9.(*XMessageSliceCmd).readReply
         0     0% 93.79%      1.26s 43.45%  github.com/redis/go-redis/v9.(*baseClient)._getConn
         0     0% 93.79%      1.43s 49.31%  github.com/redis/go-redis/v9.(*baseClient)._process
         0     0% 93.79%      0.17s  5.86%  github.com/redis/go-redis/v9.(*baseClient)._process.func1
         0     0% 93.79%      0.11s  3.79%  github.com/redis/go-redis/v9.(*baseClient)._process.func1.3
         0     0% 93.79%      1.26s 43.45%  github.com/redis/go-redis/v9.(*baseClient).getConn
